CropType,LoanName,Location,LandType,LandSize,Income
Coffee,NABARD Loan,Kodagu,Wetland,1.26,72314
Cotton,Kisan Credit Card,Ballari,Black cotton soil land,2.36,35830
Millets,Organic Farming Loan,Ballari,Rainfed,4.55,20755
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,4.9,21166
Floriculture,Floriculture Loan,Tumakuru,Irrigated,1.3,72349
Silk,Sericulture Loan,Ramanagara,Dryland,1.19,70237
Fish Farming,Fisheries Loan,Udupi,Wetland,0.88,70061
Wheat,PM Kisan Loan,Bagalkot,Dryland,4.51,28771
Beekeeping,Apiculture Loan,Chamarajanagar,Dryland,0.75,52020
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,1.21,35872
Cotton,Kisan Credit Card,Dharwad,Dryland,4.11,31516
Wheat,Crop Loan,Kalaburagi,Irrigated,2.23,31597
Beekeeping,Agri Clinic Loan,Kodagu,Forest edge,0.79,56186
Sugarcane,Irrigation Loan,Bagalkot,Irrigated,3.88,45722
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,1.51,37113
Maize,Crop Loan,Davanagere,Dryland,2.13,30301
Wheat,Crop Loan,Kalaburagi,Irrigated,2.09,34692
Sugarcane,Agricultural Term Loan,Bagalkot,Black cotton soil land,5.37,54472
Floriculture,NABARD Loan,Doddaballapura,Irrigated,1.35,72593
Banana,Horticulture Loan,Hassan,Irrigated,2.49,45854
Banana,Horticulture Loan,Mandya,Irrigated,1.84,44624
Maize,Farm Mechanization Loan,Gadag,Rainfed,2.09,32309
Maize,Crop Loan,Chikkaballapur,Dryland,2.49,31916
Millets,Soil Health Card Loan,Koppal,Rainfed,5.25,18212
Organic Vegetables,Horticulture Loan,Tumakuru,Irrigated,1.31,42484
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,1.55,56632
Floriculture,NABARD Loan,Doddaballapura,Irrigated,0.58,67406
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,1.04,88119
Pulses,PM Kisan Loan,Dharwad,Dryland,1.89,18116
Millets,PM Kisan Loan,Ballari,Dryland,5.96,15458
Cotton,Kisan Credit Card,Ballari,Dryland,4.75,33350
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,2.15,94209
Cotton,Pest Management Loan,Gadag,Black cotton soil land,3.34,35687
Pulses,Organic Farming Loan,Gadag,Rainfed,3.21,23250
Fish Farming,Fisheries Loan,Udupi,Wetland,2.4,67599
Coffee,Plantation Development Loan,Hassan,Wetland,1.45,70928
Coffee,Plantation Development Loan,Chikkamagaluru,Black cotton soil land,1.8,84200
Rice,Irrigation Loan,Mandya,Wetland,2.5,38641
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,1.45,86567
Rice,Kisan Credit Card,Raichur,Wetland,3.61,39125
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,1.97,75748
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.9,82851
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,2.94,46080
Coconut,Plantation Loan,Tumakuru,Coastal loamy,3.42,41373
Cotton,Kisan Credit Card,Haveri,Dryland,3.57,34510
Millets,Organic Farming Loan,Chitradurga,Dryland,2.17,17951
Banana,Horticulture Loan,Mysuru,Wetland,2.35,52819
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,4.17,33380
Organic Vegetables,Horticulture Loan,Tumakuru,Irrigated,2.32,44166
Pulses,PM Kisan Loan,Raichur,Rainfed,2.72,20107
Floriculture,Floriculture Loan,Bengaluru Urban,Polyhouse,1.08,62088
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,2.05,46298
Wheat,Crop Loan,Bagalkot,Dryland,4.42,27493
Cotton,Crop Loan,Gadag,Dryland,3.33,33133
Rice,Kisan Credit Card,Shivamogga,Wetland,2.53,35171
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,0.77,86396
Millets,Organic Farming Loan,Koppal,Dryland,5.02,20683
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,3.96,29829
Silk,Agricultural Term Loan,Chikkaballapur,Dryland,2.53,72396
Beekeeping,Apiculture Loan,Kodagu,Dryland,1.08,50301
Millets,PM Kisan Loan,Koppal,Rainfed,5.7,16471
Beekeeping,Apiculture Loan,Chamarajanagar,Dryland,1.75,52073
Rice,Crop Loan,Mandya,Wetland,1.67,39584
Rice,Kisan Credit Card,Mandya,Wetland,3.71,33067
Organic Vegetables,Organic Farming Loan,Dharwad,Dryland,2.37,48811
Beekeeping,Agri Clinic Loan,Kodagu,Forest edge,1.48,66709
Cotton,Crop Loan,Ballari,Dryland,3.78,43607
Cotton,Pest Management Loan,Haveri,Dryland,3.9,41003
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,0.58,66247
Groundnut,Organic Farming Loan,Tumakuru,Dryland,4.87,28318
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,2.08,71522
Rice,Kisan Credit Card,Mandya,Wetland,2.71,35638
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.45,81105
Maize,Farm Mechanization Loan,Davanagere,Rainfed,4.78,32376
Coffee,Horticulture Loan,Kodagu,Black cotton soil land,1.19,81052
Wheat,Crop Loan,Kalaburagi,Irrigated,1.52,29459
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.01,89427
Silk,Agricultural Term Loan,Chikkaballapur,Irrigated,1.25,72429
Wheat,Crop Loan,Bagalkot,Dryland,4.69,31719
Millets,PM Kisan Loan,Ballari,Rainfed,3.72,19838
Silk,Agricultural Term Loan,Ramanagara,Dryland,2.34,56897
Floriculture,Floriculture Loan,Bengaluru Urban,Polyhouse,1.9,69141
Millets,Organic Farming Loan,Ballari,Dryland,2.95,21830
Rice,Kisan Credit Card,Mysuru,Wetland,1.41,34778
Wheat,Crop Loan,Bagalkot,Irrigated,2.39,32683
Floriculture,NABARD Loan,Doddaballapura,Irrigated,1.97,62767
Coconut,Plantation Loan,Udupi,Coastal loamy,2.12,41891
Coconut,Agri Infrastructure Loan,Tumakuru,Coastal loamy,2.87,43312
Organic Vegetables,Organic Farming Loan,Mysuru,Dryland,2.78,35801
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,2.54,41223
Beekeeping,Agri Clinic Loan,Kodagu,Forest edge,1.29,69379
Millets,PM Kisan Loan,Koppal,Rainfed,4.26,21556
Maize,Crop Loan,Gadag,Rainfed,3.48,26340
Organic Vegetables,Horticulture Loan,Tumakuru,Dryland,2.64,41773
Coffee,NABARD Loan,Chikkamagaluru,Black cotton soil land,1.58,64072
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.19,93626
Groundnut,Organic Farming Loan,Bengaluru Rural,Black cotton soil land,3.95,24246
Maize,Crop Loan,Davanagere,Dryland,2.06,31971
Wheat,PM Kisan Loan,Kalaburagi,Dryland,4.19,27947
Cotton,Kisan Credit Card,Ballari,Black cotton soil land,4.8,38455
Silk,Agricultural Term Loan,Chikkaballapur,Dryland,2.31,64425
Organic Vegetables,Organic Farming Loan,Dharwad,Dryland,2.82,47165
Wheat,Crop Loan,Bagalkot,Dryland,5.0,33748
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,1.84,38240
Mango,Horticulture Loan,Ramanagara,Black cotton soil land,2.57,49025
Pulses,Organic Farming Loan,Gadag,Dryland,3.82,18323
Organic Vegetables,Horticulture Loan,Tumakuru,Irrigated,2.57,44514
Beekeeping,Apiculture Loan,Shivamogga,Dryland,1.2,53580
Sugarcane,Farm Mechanization Loan,Mandya,Irrigated,4.17,58325
Cotton,Crop Loan,Haveri,Black cotton soil land,3.39,34641
Floriculture,Floriculture Loan,Tumakuru,Irrigated,1.71,77784
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,2.29,60612
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,1.58,55450
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,2.75,45064
Maize,Farm Mechanization Loan,Gadag,Rainfed,3.65,34722
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,2.79,53427
Coffee,NABARD Loan,Chikkamagaluru,Black cotton soil land,1.45,66345
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,1.46,61370
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,2.08,34804
Coconut,Plantation Loan,Dakshina Kannada,Irrigated,3.38,56549
Mango,Horticulture Loan,Ramanagara,Black cotton soil land,2.64,53640
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,2.88,27358
Fish Farming,Fisheries Loan,Udupi,Wetland,1.03,64609
Silk,Agricultural Term Loan,Chikkaballapur,Dryland,1.26,72114
Rice,Irrigation Loan,Shivamogga,Irrigated,1.71,30053
Rice,Kisan Credit Card,Raichur,Wetland,2.56,39438
Pulses,PM Kisan Loan,Raichur,Dryland,1.39,18876
Sugarcane,Irrigation Loan,Mysuru,Black cotton soil land,2.86,58856
Sugarcane,Irrigation Loan,Mysuru,Irrigated,5.52,59607
Floriculture,NABARD Loan,Doddaballapura,Polyhouse,1.32,52514
Organic Vegetables,Horticulture Loan,Tumakuru,Dryland,1.1,41061
Mango,Organic Farming Loan,Kolar,Black cotton soil land,3.23,56619
Sugarcane,Agricultural Term Loan,Mysuru,Black cotton soil land,5.98,56152
Millets,Soil Health Card Loan,Chitradurga,Dryland,3.7,18773
Rice,Irrigation Loan,Shivamogga,Irrigated,3.81,37189
Sugarcane,Agricultural Term Loan,Bagalkot,Irrigated,5.44,45619
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,2.35,72294
Pulses,NABARD Loan,Gadag,Dryland,1.24,24527
Organic Vegetables,Organic Farming Loan,Mysuru,Irrigated,1.19,38254
Millets,Soil Health Card Loan,Ballari,Rainfed,5.42,19981
Sugarcane,Agricultural Term Loan,Bagalkot,Irrigated,3.97,48505
Cotton,Kisan Credit Card,Ballari,Dryland,4.68,44282
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,3.52,40528
Organic Vegetables,Organic Farming Loan,Tumakuru,Irrigated,2.66,39794
Maize,Farm Mechanization Loan,Gadag,Dryland,4.12,31712
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.92,93403
Maize,Farm Mechanization Loan,Gadag,Rainfed,2.42,33671
Wheat,Crop Loan,Kalaburagi,Dryland,3.95,34907
Pulses,PM Kisan Loan,Bidar,Rainfed,1.29,23173
Maize,Crop Loan,Gadag,Dryland,3.97,32201
Wheat,PM Kisan Loan,Vijayapura,Irrigated,2.4,27448
Millets,PM Kisan Loan,Chitradurga,Rainfed,3.36,18760
Organic Vegetables,Organic Farming Loan,Dharwad,Irrigated,2.27,44408
Coconut,Plantation Loan,Dakshina Kannada,Irrigated,1.31,48163
Wheat,Crop Loan,Kalaburagi,Dryland,4.76,28248
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,2.41,93252
Pulses,PM Kisan Loan,Bidar,Rainfed,3.15,23208
Pulses,NABARD Loan,Gadag,Rainfed,2.94,20175
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,1.4,38489
Banana,Irrigation Loan,Mandya,Wetland,1.9,53945
Coconut,Agri Infrastructure Loan,Udupi,Irrigated,2.66,51442
Sugarcane,Farm Mechanization Loan,Mysuru,Black cotton soil land,5.77,54675
Rice,Irrigation Loan,Shivamogga,Wetland,3.43,33392
Floriculture,Floriculture Loan,Tumakuru,Polyhouse,0.6,69738
Maize,Farm Mechanization Loan,Davanagere,Dryland,2.1,20663
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,2.0,58882
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.92,96306
Floriculture,NABARD Loan,Doddaballapura,Polyhouse,1.32,56449
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.13,97403
Silk,NABARD Loan,Kolar,Irrigated,1.67,73581
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,1.31,50280
Sugarcane,Irrigation Loan,Belagavi,Irrigated,5.99,57668
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.5,66463
Maize,Crop Loan,Gadag,Dryland,3.98,30246
Fish Farming,Fisheries Loan,Udupi,Wetland,2.19,67745
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.35,85238
Banana,Horticulture Loan,Mandya,Irrigated,2.64,49576
Cotton,Kisan Credit Card,Gadag,Dryland,2.98,38708
Millets,PM Kisan Loan,Tumakuru,Rainfed,2.26,17633
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,2.19,73089
Millets,Soil Health Card Loan,Tumakuru,Rainfed,4.13,20856
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,3.78,47892
Millets,Soil Health Card Loan,Chitradurga,Dryland,2.18,18051
Wheat,PM Kisan Loan,Kalaburagi,Dryland,3.04,33688
Rice,Irrigation Loan,Mandya,Wetland,3.04,34036
Floriculture,NABARD Loan,Doddaballapura,Polyhouse,1.32,59601
Groundnut,Organic Farming Loan,Chikkaballapur,Black cotton soil land,3.78,25893
Maize,Crop Loan,Chikkaballapur,Rainfed,3.28,30393
Pulses,Organic Farming Loan,Bidar,Dryland,2.17,20410
Rice,Irrigation Loan,Mysuru,Wetland,2.44,31635
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,1.71,66851
Beekeeping,Agri Clinic Loan,Shivamogga,Dryland,1.74,61807
Rice,Kisan Credit Card,Raichur,Irrigated,1.29,31679
Beekeeping,Agri Clinic Loan,Shivamogga,Dryland,0.8,54325
Coffee,Plantation Development Loan,Kodagu,Wetland,1.76,63657
Coffee,Plantation Development Loan,Kodagu,Black cotton soil land,0.88,84812
Banana,Irrigation Loan,Mysuru,Wetland,1.87,49627
Coconut,Plantation Loan,Udupi,Irrigated,2.3,54314
Silk,NABARD Loan,Ramanagara,Irrigated,1.78,72320
Beekeeping,Apiculture Loan,Kodagu,Forest edge,0.99,66335
Groundnut,Crop Loan,Tumakuru,Dryland,3.37,28446
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,1.65,62942
Pulses,Organic Farming Loan,Dharwad,Dryland,1.05,24036
Millets,Organic Farming Loan,Chitradurga,Rainfed,4.87,15272
Maize,Farm Mechanization Loan,Gadag,Rainfed,2.75,25075
Coffee,Horticulture Loan,Hassan,Black cotton soil land,0.75,66419
Silk,NABARD Loan,Ramanagara,Dryland,1.18,71480
Cotton,Pest Management Loan,Ballari,Black cotton soil land,2.06,38412
Coffee,NABARD Loan,Chikkamagaluru,Wetland,0.74,81400
Pulses,PM Kisan Loan,Raichur,Dryland,3.41,24294
Sugarcane,Agricultural Term Loan,Mandya,Irrigated,2.66,54200
Coffee,Plantation Development Loan,Hassan,Black cotton soil land,0.64,84276
Wheat,PM Kisan Loan,Vijayapura,Dryland,3.69,33880
Mango,Organic Farming Loan,Chikkaballapur,Dryland,3.59,51502
Maize,Crop Loan,Chikkaballapur,Dryland,2.85,33564
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,3.9,34775
Rice,Crop Loan,Mysuru,Wetland,2.8,37889
Millets,PM Kisan Loan,Ballari,Dryland,2.68,21504
Pulses,Organic Farming Loan,Dharwad,Dryland,1.75,20203
Cotton,Crop Loan,Haveri,Dryland,3.2,36915
Floriculture,NABARD Loan,Bengaluru Urban,Irrigated,1.11,67675
Sugarcane,Irrigation Loan,Belagavi,Black cotton soil land,2.41,58056
Coffee,NABARD Loan,Chikkamagaluru,Black cotton soil land,0.74,86080
Banana,Irrigation Loan,Mandya,Wetland,2.41,47453
Coffee,NABARD Loan,Kodagu,Wetland,1.78,65716
Banana,Horticulture Loan,Hassan,Irrigated,2.71,47990
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,2.04,59398
Coffee,Horticulture Loan,Kodagu,Black cotton soil land,0.61,87310
Pulses,PM Kisan Loan,Dharwad,Dryland,2.38,20769
Sugarcane,Agricultural Term Loan,Bagalkot,Black cotton soil land,4.16,57568
Banana,Horticulture Loan,Mysuru,Irrigated,2.36,42683
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.78,96193
Millets,Organic Farming Loan,Tumakuru,Dryland,4.23,18050
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,3.63,42014
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,0.56,81057
Millets,Soil Health Card Loan,Koppal,Dryland,4.03,16827
Sugarcane,Irrigation Loan,Mandya,Irrigated,5.93,49281
Maize,Crop Loan,Gadag,Rainfed,4.29,28140
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,1.92,88050
Rice,Crop Loan,Shivamogga,Irrigated,3.92,37149
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,0.7,74394
Pulses,NABARD Loan,Dharwad,Rainfed,1.39,20849
Coffee,NABARD Loan,Chikkamagaluru,Wetland,0.61,73769
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,2.23,33199
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,0.91,56498
Organic Vegetables,Organic Farming Loan,Dharwad,Dryland,1.04,48709
Pulses,PM Kisan Loan,Raichur,Rainfed,3.08,22892
Maize,Farm Mechanization Loan,Chikkaballapur,Rainfed,3.91,22835
Banana,Horticulture Loan,Hassan,Wetland,2.11,43538
Beekeeping,Apiculture Loan,Chamarajanagar,Dryland,1.57,66676
Wheat,Crop Loan,Bagalkot,Irrigated,2.86,25433
Banana,Horticulture Loan,Mandya,Wetland,3.34,50117
Banana,Horticulture Loan,Hassan,Wetland,3.42,48300
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,2.04,26633
Pulses,NABARD Loan,Raichur,Rainfed,3.85,22145
Beekeeping,Agri Clinic Loan,Shivamogga,Forest edge,1.67,58274
Floriculture,Floriculture Loan,Bengaluru Urban,Polyhouse,0.58,66048
Rice,Kisan Credit Card,Shivamogga,Wetland,2.6,33474
Silk,NABARD Loan,Kolar,Dryland,1.39,54819
Silk,Agricultural Term Loan,Chikkaballapur,Dryland,1.57,58814
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,3.57,35696
Organic Vegetables,Organic Farming Loan,Dharwad,Dryland,2.95,47402
Floriculture,NABARD Loan,Bengaluru Urban,Irrigated,1.12,78398
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,2.34,94808
Cotton,Pest Management Loan,Ballari,Dryland,2.71,35253
Rice,Crop Loan,Raichur,Wetland,1.79,38215
Wheat,PM Kisan Loan,Kalaburagi,Irrigated,4.43,29858
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,3.32,21802
Millets,Organic Farming Loan,Ballari,Dryland,3.76,21255
Silk,NABARD Loan,Ramanagara,Irrigated,2.07,57065
Wheat,Crop Loan,Bagalkot,Irrigated,1.81,34102
Coconut,Plantation Loan,Tumakuru,Coastal loamy,2.02,43624
Silk,Agricultural Term Loan,Kolar,Dryland,1.75,60440
Wheat,PM Kisan Loan,Vijayapura,Irrigated,2.28,33357
Coffee,Horticulture Loan,Kodagu,Black cotton soil land,1.38,75489
Banana,Irrigation Loan,Mysuru,Wetland,1.65,51950
Maize,Crop Loan,Davanagere,Rainfed,4.07,25767
Sugarcane,Agricultural Term Loan,Mysuru,Irrigated,2.63,45734
Coffee,Plantation Development Loan,Chikkamagaluru,Black cotton soil land,1.09,85899
Sugarcane,Agricultural Term Loan,Mysuru,Irrigated,4.79,55466
Coffee,Plantation Development Loan,Chikkamagaluru,Black cotton soil land,0.9,83234
Floriculture,Floriculture Loan,Bengaluru Urban,Polyhouse,1.55,74962
Pulses,NABARD Loan,Dharwad,Rainfed,1.91,19230
Groundnut,Organic Farming Loan,Tumakuru,Dryland,4.17,20962
Mango,Horticulture Loan,Kolar,Dryland,2.29,46467
Rice,Kisan Credit Card,Mandya,Wetland,2.75,35996
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,2.45,41953
Mango,Horticulture Loan,Kolar,Dryland,1.35,49042
Cotton,Kisan Credit Card,Gadag,Black cotton soil land,4.84,32831
Floriculture,NABARD Loan,Tumakuru,Polyhouse,1.25,76402
Groundnut,Crop Loan,Tumakuru,Black cotton soil land,3.49,22239
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.73,96686
Mango,Organic Farming Loan,Kolar,Black cotton soil land,1.52,40300
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,2.69,42160
Beekeeping,Apiculture Loan,Shivamogga,Dryland,1.82,50302
Millets,Organic Farming Loan,Chitradurga,Dryland,2.37,19264
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.94,85316
Mango,Horticulture Loan,Kolar,Dryland,2.03,35898
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,1.26,51862
Coffee,Horticulture Loan,Kodagu,Black cotton soil land,1.92,87004
Pulses,NABARD Loan,Gadag,Dryland,3.47,21680
Coffee,Horticulture Loan,Hassan,Black cotton soil land,1.2,80740
Floriculture,NABARD Loan,Bengaluru Urban,Irrigated,1.21,53673
Wheat,PM Kisan Loan,Bagalkot,Irrigated,3.71,26130
Coconut,Plantation Loan,Udupi,Irrigated,2.09,40297
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,1.3,38841
Groundnut,Organic Farming Loan,Bengaluru Rural,Dryland,4.6,21074
Millets,Soil Health Card Loan,Tumakuru,Dryland,4.66,19918
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Irrigated,1.34,47069
Maize,Farm Mechanization Loan,Davanagere,Rainfed,2.69,22196
Groundnut,Organic Farming Loan,Tumakuru,Black cotton soil land,4.14,24582
Sugarcane,Agricultural Term Loan,Mandya,Irrigated,3.85,56204
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.52,67080
Millets,PM Kisan Loan,Tumakuru,Dryland,5.83,20295
Maize,Farm Mechanization Loan,Davanagere,Dryland,4.58,23611
Coconut,Plantation Loan,Udupi,Coastal loamy,2.81,53012
Silk,NABARD Loan,Ramanagara,Irrigated,2.49,74214
Coffee,Plantation Development Loan,Hassan,Wetland,1.65,60892
Floriculture,NABARD Loan,Doddaballapura,Irrigated,0.97,52786
Groundnut,Organic Farming Loan,Bengaluru Rural,Dryland,2.66,27429
Silk,NABARD Loan,Ramanagara,Irrigated,2.23,61411
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,0.8,58445
Beekeeping,Apiculture Loan,Shivamogga,Dryland,1.32,62777
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.87,49889
Beekeeping,Apiculture Loan,Chamarajanagar,Dryland,0.52,65404
Mango,Horticulture Loan,Kolar,Dryland,1.08,40385
Beekeeping,Apiculture Loan,Kodagu,Forest edge,0.95,52430
Coffee,NABARD Loan,Chikkamagaluru,Wetland,0.71,62999
Organic Vegetables,Horticulture Loan,Mysuru,Irrigated,2.34,37139
Millets,Soil Health Card Loan,Koppal,Dryland,4.99,15798
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,1.41,88307
Millets,Soil Health Card Loan,Tumakuru,Dryland,4.91,20116
Wheat,Crop Loan,Kalaburagi,Irrigated,2.15,28854
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,1.97,39141
Banana,Horticulture Loan,Mandya,Irrigated,2.84,41183
Coconut,Plantation Loan,Tumakuru,Coastal loamy,2.9,40783
Cotton,Kisan Credit Card,Haveri,Dryland,3.29,31782
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,1.85,69357
Maize,Crop Loan,Gadag,Dryland,4.1,33039
Silk,Sericulture Loan,Chikkaballapur,Dryland,2.46,50129
Pulses,NABARD Loan,Bidar,Dryland,3.11,24042
Silk,Sericulture Loan,Kolar,Dryland,1.87,59792
Millets,PM Kisan Loan,Ballari,Dryland,5.33,20954
Coffee,Plantation Development Loan,Kodagu,Wetland,1.88,72279
Wheat,Crop Loan,Bagalkot,Dryland,3.07,30273
Organic Vegetables,Organic Farming Loan,Mysuru,Dryland,3.0,43457
Rice,Irrigation Loan,Mandya,Irrigated,3.65,37556
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,1.39,71054
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.0,98141
Maize,Crop Loan,Chikkaballapur,Rainfed,3.13,22610
Rice,Irrigation Loan,Shivamogga,Irrigated,1.69,39600
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.69,96524
Coconut,Agri Infrastructure Loan,Udupi,Irrigated,2.22,40653
Banana,Irrigation Loan,Mandya,Irrigated,2.64,51411
Wheat,PM Kisan Loan,Vijayapura,Dryland,4.51,28949
Millets,Organic Farming Loan,Ballari,Rainfed,5.43,21837
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,2.2,92583
Mango,Horticulture Loan,Kolar,Black cotton soil land,3.04,41945
Beekeeping,Apiculture Loan,Shivamogga,Dryland,1.99,65230
Sugarcane,Farm Mechanization Loan,Mysuru,Black cotton soil land,5.15,59372
Beekeeping,Apiculture Loan,Chamarajanagar,Forest edge,1.11,57651
Silk,Agricultural Term Loan,Ramanagara,Dryland,2.87,57432
Coffee,NABARD Loan,Hassan,Wetland,0.96,71943
Sugarcane,Farm Mechanization Loan,Mandya,Irrigated,4.29,55711
Fish Farming,Fisheries Loan,Udupi,Wetland,2.01,99431
Wheat,PM Kisan Loan,Bagalkot,Dryland,3.22,29517
Silk,NABARD Loan,Chikkaballapur,Irrigated,2.2,65550
Beekeeping,Apiculture Loan,Chamarajanagar,Dryland,1.17,63286
Coffee,Plantation Development Loan,Hassan,Black cotton soil land,1.36,88559
Banana,Horticulture Loan,Hassan,Irrigated,2.98,44671
Beekeeping,Apiculture Loan,Kodagu,Forest edge,1.27,67146
Coffee,NABARD Loan,Chikkamagaluru,Wetland,1.55,83593
Banana,Horticulture Loan,Mandya,Wetland,1.83,46235
Floriculture,Floriculture Loan,Doddaballapura,Irrigated,0.92,61339
Wheat,PM Kisan Loan,Kalaburagi,Irrigated,3.55,29998
Wheat,Crop Loan,Bagalkot,Irrigated,2.37,25352
Millets,Soil Health Card Loan,Tumakuru,Dryland,5.35,18294
Coconut,Plantation Loan,Dakshina Kannada,Coastal loamy,2.47,42073
Pulses,PM Kisan Loan,Gadag,Dryland,1.17,19668
Banana,Irrigation Loan,Hassan,Wetland,2.39,50708
Coffee,Horticulture Loan,Hassan,Wetland,1.02,75149
Cotton,Kisan Credit Card,Ballari,Black cotton soil land,4.75,43795
Pulses,NABARD Loan,Bidar,Rainfed,3.85,22183
Silk,NABARD Loan,Chikkaballapur,Irrigated,1.73,73945
Silk,Agricultural Term Loan,Kolar,Dryland,2.62,51077
Millets,Organic Farming Loan,Koppal,Dryland,2.13,15259
Groundnut,Crop Loan,Bengaluru Rural,Dryland,3.27,21875
Rice,Kisan Credit Card,Mandya,Irrigated,3.09,34151
Cotton,Kisan Credit Card,Ballari,Dryland,4.74,37072
Silk,Agricultural Term Loan,Kolar,Dryland,1.37,54458
Millets,Organic Farming Loan,Chitradurga,Dryland,2.31,20994
Groundnut,Crop Loan,Chikkaballapur,Dryland,3.64,32282
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.97,81229
Silk,NABARD Loan,Kolar,Dryland,1.05,56980
Sugarcane,Irrigation Loan,Mysuru,Black cotton soil land,5.48,57423
Maize,Crop Loan,Gadag,Rainfed,4.23,29535
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.7,78860
Sugarcane,Agricultural Term Loan,Mysuru,Black cotton soil land,4.1,48864
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.78,79546
Banana,Irrigation Loan,Hassan,Wetland,1.92,50719
Floriculture,Floriculture Loan,Bengaluru Urban,Polyhouse,1.88,57715
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.22,41638
